PhoId|MulId|MulPfadS|MulDateiS|filename
68893|201613|M_B\M_B01000-01999\M_B01100-01199|LN_B01198_004078|Skvadronstandar Borgerskapets kavalleri - Livrustkammaren - 68893.tif
22372|194956|M_T\M_T10000-10999\M_T10800-10899|hm_t010859|Porslin - Hallwylska museet - 22372.tif
52432|203399|M_B\M_B07000-07999\M_B07800-07899|LN_B07816_010696|Slaglåspistoler - Livrustkammaren - 52432.tif
44255|197510|M_B\M_B11000-11999\M_B11600-11699|LN_B11655_014535|Bomsadel, 1600-talets mitt - Livrustkammaren - 44255.tif
87684|191233|M_DIG\M_DIG6000-6999\M_DIG6800-6899|lm_dig6840|Till boken - utställningen Kunglig Vintage - Livrustkammaren - 87684.tif
86333|189473|M_DIG\M_DIG4000-4999\M_DIG4200-4299|hm_dig4229|Vinkällaren. Betjänt med nycklar. Utställningen "Smak av svunnen tid" år 2007 - Hallwylska museet - 86333.tif
87924|191219|M_DIG\M_DIG6000-6999\M_DIG6800-6899|hm_dig6889|Datalj stora salongen - Hallwylska museet - 87924.tif
77744|208177|M_B\M_B04000-04999\M_B04100-04199|LN_B04119_006999|Stigbygel, 1600-talet - Livrustkammaren - 77744.tif
7256|187897|M_DIG\M_DIG2000-2999\M_DIG2600-2699|lm_dig2650|Schabrak, fr. gåvan - Livrustkammaren - 7256.tif
17959|200443|M_B\M_B05000-05999\M_B05500-05599|LN_B05502_008382|Kulform, 1700-tal - Livrustkammaren - 17959.tif
39334|194748|M_T\M_T09000-09999\M_T09200-09299|hm_t09261|Skål-bowl - Hallwylska museet - 39334.tif
35433|205022|M_B\M_B09000-09999\M_B09000-09099|LN_B09014_011894|Bödelssvärd - Livrustkammaren - 35433.tif
90075|188973|M_DIG\M_DIG3000-3999\M_DIG3300-3399|hm_dig3343|Sidenklänning med avskuren midja och vida rynkade korta ärmar - Hallwylska museet - 90075.tif
86536|191115|M_DIG\M_DIG6000-6999\M_DIG6400-6499|lm_dig6465_12883|Uniformskappa, ridbyxor Generalstaben 1939, vapenrock, axelklaffar, sabelkoppel, stövlar - Livrustkammaren - 86536.tif
26079|201499|M_B\M_B01000-01999\M_B01000-01099|LN_B01083_003963|Bikorn samhörande med pukslagaruniform, J M Sörman, Stockholm ca 1830 - Livrustkammaren - 26079.tif
27135|197469|M_B\M_B11000-11999\M_B11600-11699|LN_B11643_014523|Ryggstycke med svansrem - Livrustkammaren - 27135.tif
8873|200177|M_B\M_B00000-00999\M_B00200-00299|LN_B00261_003141|Rustningshandske höger, till kostymharnesk. Tyskland troligen 1510-tal - Livrustkammaren - 8873.tif
70059|198677|M_B\M_B12000-12999\M_B12800-12899|LN_B12858_015738|Livgehäng t 19340-19341 - Livrustkammaren - 70059.tif
22406|195039|M_T\M_T11000-11999\M_T11100-11199|hm_t11199|Interiör från Julius Kronbergs ateljé - Hallwylska museet - 22406.tif
90574|191661|M_DIG\M_DIG7000-7999\M_DIG7300-7399|hm_dig7313|Fajans, gräddsnäcka, baksida, 1771 - Hallwylska museet - 90574.tif
52569|205189|M_B\M_B09000-09999\M_B09100-09199|LN_B09186_012066|Hjullåspistol, västra Tyskland, 1641 - Livrustkammaren - 52569.tif
51918|206786|M_B\M_B02000-02999\M_B02600-02699|LN_B02676_005556|St.Stanislausorden kraschan, Ryssland - Livrustkammaren - 51918.tif
70146|199458|M_B\M_B13000-13999\M_B13700-13799|LN_B13728_016608|Flintlåspistol, Ch. Doucin, Paris ca 1696 - Livrustkammaren - 70146.tif
26886|205156|M_B\M_B09000-09999\M_B09100-09199|LN_B09153_012033|Hjälm - Livrustkammaren - 26886.tif
598|207209|M_B\M_B03000-03999\M_B03100-03199|LN_B03100_005980|Hjullåspistol, puffert, Nordtyskland (Braunschweig?) ca 1560-1570 - Livrustkammaren - 598.tif
52739|196582|M_B\M_B10000-10999\M_B10800-10899|LN_B10886_013766|Flintlåspistol - Livrustkammaren - 52739.tif
8210|190600|M_DIG\M_DIG6000-6999\M_DIG6200-6299|lm_dig6235|Dokumentation, utställningen "Den oumbärliga väskan" - år 2008 - Livrustkammaren - 8210.tif
60992|203390|M_B\M_B07000-07999\M_B07800-07899|LN_B07807_010687|Karl den stores krona ur Schlosser, Schatzkammer Wien, från sidan - Livrustkammaren - 60992.tif
26100|201708|M_B\M_B01000-01999\M_B01200-01299|LN_B01293_004173|Kompanifana vid Hälsinge regemente - Livrustkammaren - 26100.tif
51891|206528|M_B\M_B02000-02999\M_B02400-02499|LN_B02406_005286|Kapson - Livrustkammaren - 51891.tif
86611|189609|M_DIG\M_DIG4000-4999\M_DIG4400-4499|sm_dig4424|Gyllenlädertapet - Skoklosters slott - 86611.tif
51934|206940|M_B\M_B02000-02999\M_B02800-02899|LN_B02836_005716|Hjullåspistol utan lås, Nederländerna ca 1650 - Livrustkammaren - 51934.tif
39615|186535|M_DIG\M_DIG1000-1999\M_DIG1100-1199|lm_dig1112|Solfjäder detalj - Livrustkammaren - 39615.tif
89304|188773|M_DIG\M_DIG3000-3999\M_DIG3100-3199|hm_dig3128|Porslin. Figurin - herdinna - Hallwylska museet - 89304.tif
16755|188017|M_DIG\M_DIG2000-2999\M_DIG2700-2799|lm_dig2727|Dokumentation, Livrustkammarens basutställning, Rum D - Livrustkammaren - 16755.tif
60872|202192|M_B\M_B06000-06999\M_B06600-06699|LN_B06607_009487|Karbinrem - Livrustkammaren - 60872.tif
773|208798|M_B\M_B04000-04999\M_B04800-04899|LN_B04850_007730|Florett, 1690-talets början, Sverige - Livrustkammaren - 773.tif
77525|205829|M_B\M_B01000-01999\M_B01900-01999|LN_B01929_004809|Pumps - Livrustkammaren - 77525.tif
17521|201544|M_B\M_B01000-01999\M_B01100-01199|LN_B01122_004002|Standar CGRS PAR.LVN.IASPIRE A LAUTRE - Livrustkammaren - 17521.tif
69051|206888|M_B\M_B02000-02999\M_B02700-02799|LN_B02778_005658|Knappar till uniform , 24 st - Livrustkammaren - 69051.tif
69100|207374|M_B\M_B03000-03999\M_B03200-03299|LN_B03268_006148|Flintlåspistol, P. Thomas, Paris ca 1640 - Livrustkammaren - 69100.tif
35030|208979|M_B\M_B04000-04999\M_B04900-04999|LN_B04984_007864|Sabel - shamshir (scimitar) - Livrustkammaren - 35030.tif
86707|189653|M_DIG\M_DIG4000-4999\M_DIG4400-4499|hm_dig4485_3201|Målning. Venus. Frans Floris - Hallwylska museet - 86707.tif
70113|199234|M_B\M_B13000-13999\M_B13300-13399|LN_B13398_016278|Väst till Torsångskarlen, 1750-tal - Livrustkammaren - 70113.tif
89092|187217|M_DIG\M_DIG1000-1999\M_DIG1900-1999|hm_dig1972|Ler- och stengods. Blå skål med vit dekor. 1700-talets slut - Hallwylska museet - 89092.tif
35912|199542|M_B\M_B13000-13999\M_B13800-13899|LN_B13804_016684|Uniformsrock buren av Karl XII vid Fredrikshall den 30 november 1718 - Livrustkammaren - 35912.tif
9966|196923|M_B\M_B11000-11999\M_B11100-11199|LN_B11191_014071|Elfenbenspistoler - Livrustkammaren - 9966.tif
85695|186273|M_DIG\M_DIG0000-0999\M_DIG0800-0899|hm_dig0858|Hattutställning - Hallwylska museet - 85695.jpg
42727|190293|M_DIG\M_DIG5000-5999\M_DIG5100-5199|lm_dig5188_17520|Bomsadel - Livrustkammaren - 42727.tif
60517|207164|M_B\M_B03000-03999\M_B03000-03099|LN_B03057_005937|Gyllene Lejonets orden riddarkors - Livrustkammaren - 60517.tif
34668|203932|M_B\M_B01000-01999\M_B01300-01399|LN_B01354_004234|Kompanifana vid Södermanlands regemente av 1756 års modell - Livrustkammaren - 34668.tif
44188|196743|M_B\M_B10000-10999\M_B10900-10999|LN_B10975_013855|Napoleons silverbägare - Livrustkammaren - 44188.tif
34451|193578|M_A\M_A02000-02999\M_A02000-02099|LN_A02064_002064|Benpansar h - Livrustkammaren - 34451.tif
42990|193330|M_A\M_A01000-01999\M_A01800-01899|LN_A01875_001875|Sveptröja - Livrustkammaren - 42990.tif
17042|190270|M_DIG\M_DIG5000-5999\M_DIG5100-5199|lm_dig5165_7870|Stigbygel till sadel - Livrustkammaren - 17042.tif
82297|194983|M_T\M_T10000-10999\M_T10800-10899|hm_t010886|Porslin - Hallwylska museet - 82297.tif
59825|190225|M_DIG\M_DIG5000-5999\M_DIG5000-5099|lm_dig5041_12580|Detalj, huvudlag, skygglappar - Livrustkammaren - 59825.tif
44027|205391|M_B\M_B09000-09999\M_B09300-09399|LN_B09365_012245|Dryckesbägare - Livrustkammaren - 44027.tif
51935|206950|M_B\M_B02000-02999\M_B02800-02899|LN_B02846_005726|Sadel, ingående i Sigismund Augusts rustningsgarnityr för man och häst - Livrustkammaren - 51935.tif
26707|202940|M_B\M_B07000-07999\M_B07300-07399|LN_B07363_B10243|Ett av två utstlag (6048-6049) till drottning Kristinas kröningskaross med trofémotiv, Paris 1650 - Livrustkammaren - 26707.tif
66534|187579|M_DIG\M_DIG2000-2999\M_DIG2200-2299|lm_dig2279|S.XXIII:IV:J:05. Föremålet tillhör Hallwylska museet - Livrustkammaren - 66534.tif
85250|190541|M_DIG\M_DIG6000-6999\M_DIG6100-6199|lm_dig6174_10277|Skrivschatull - Livrustkammaren - 85250.tif
5178|194798|M_T\M_T10000-10999\M_T10100-10199|hm_t10157|Rubelli - Utställning - Hallwylska museet - 5178.tif
86071|190679|M_DIG\M_DIG6000-6999\M_DIG6300-6399|lm_dig6329|Interiörbilder, Livrustkammarens bibliotek - Livrustkammaren - 86071.tif
17140|191782|M_A\M_A00000-00999\M_A00100-00199|LN_A00192_000192|Kyller - Livrustkammaren - 17140.tif
86748|189749|M_DIG\M_DIG4000-4999\M_DIG4500-4599|hm_dig4512|Stol från Kempes vångin vid kornhamnstorg. Inlån till utställningen - Hallwylska museet - 86748.tif
68843|201111|M_B\M_B00000-00999\M_B00600-00699|LN_B00698_003578|Sabel, kilij, Turkiet, 1600-talet - Livrustkammaren - 68843.tif
86713|189655|M_DIG\M_DIG4000-4999\M_DIG4400-4499|hm_dig4487_3251|Målning. Damporträtt. Nicolas Maes - Hallwylska museet - 86713.tif
43861|203287|M_B\M_B07000-07999\M_B07700-07799|LN_B07705_010585|Sadel tillhörande Erik XIV's rustningsgarnityr - Livrustkammaren - 43861.tif
22219|117357|M_T\M_T09000-09999\M_T09300-09399|lm_t09329_10252|Dödsmask av kejsar Napoleon I - Livrustkammaren - 22219.tif
69339|200671|M_B\M_B05000-05999\M_B05600-05699|LN_B05658_008538|Modellhatt för drottning Kristinas livgarde - Livrustkammaren - 69339.tif
26378|208130|M_B\M_B04000-04999\M_B04000-04099|LN_B04073_006953|Stigbygel par m 7969 - Livrustkammaren - 26378.tif
32541|187695|M_DIG\M_DIG2000-2999\M_DIG2400-2499|lm_dig2448_3189|Hjullåsbössa, v sida - Livrustkammaren - 32541.tif
51541|193303|M_A\M_A01000-01999\M_A01700-01799|LN_A01786_001786|Riksbanér - Livrustkammaren - 51541.tif
89136|188952|M_DIG\M_DIG3000-3999\M_DIG3300-3399|hm_dig3322|KOSTYM (sport-) Bestående av kavaj, väst och byxor. Av brun cheviot samt med bruna hornknappar - Hallwylska museet - 89136.tif
87211|190006|M_DIG\M_DIG4000-4999\M_DIG4800-4899|sm_dig4850|Nordvästra tornet genom fönstret i sydvästra tornet. Exteriör - Skoklosters slott - 87211.tif
5089|194754|M_T\M_T09000-09999\M_T09200-09299|hm_t09267|Presenterbricka - Hallwylska museet - 5089.tif
77746|208197|M_B\M_B04000-04999\M_B04100-04199|LN_B04139_007019|Sadel - Livrustkammaren - 77746.tif
60002|192275|M_A\M_A00000-00999\M_A00700-00799|LN_A00787_000787|Rustningsdel - Livrustkammaren - 60002.tif
69192|208245|M_B\M_B04000-04999\M_B04100-04199|LN_B04188_007068|Hölsterkappa broderi i guld *** - Livrustkammaren - 69192.tif
69765|206419|M_B\M_B09000-09999\M_B09900-09999|LN_B09918_012798|Värjklingor - Livrustkammaren - 69765.tif
52736|196652|M_B\M_B10000-10999\M_B10800-10899|LN_B10856_013736|Bergsmansyxa med runkalender på skaftet, 1750-1800 c - Livrustkammaren - 52736.tif
9611|203218|M_B\M_B07000-07999\M_B07600-07699|LN_B07641_010521|Flintlåspistol, D. G. De Foullois, Paris ca 1650-1660 - Livrustkammaren - 9611.tif
51902|206626|M_B\M_B02000-02999\M_B02500-02599|LN_B02516_005396|Sporre, arabisk - Livrustkammaren - 51902.tif
8742|193362|M_A\M_A01000-01999\M_A01800-01899|LN_A01831_001831|Kröningsmantel - Livrustkammaren - 8742.tif
43932|204127|M_B\M_B08000-08999\M_B08400-08499|LN_B08415_011295|Höftskena - Livrustkammaren - 43932.tif
79|192278|M_A\M_A00000-00999\M_A00700-00799|LN_A00790_000790|Brynja - Livrustkammaren - 79.tif
17617|206083|M_B\M_B02000-02999\M_B02000-02099|LN_B02082_004962|Flintlåsstudsare, Jacob Nussbaum, Drottningholm ca 1770 - Livrustkammaren - 17617.tif
60195|194222|M_A\M_A02000-02999\M_A02700-02799|LN_A02717_002717|Flintlåsstudsare - Pistor - Livrustkammaren - 60195.tif
68581|192470|M_A\M_A00000-00999\M_A00900-00999|LN_A00958_000958|Luntlås-hjullåsbössa - Livrustkammaren - 68581.tif
501|206131|M_B\M_B02000-02999\M_B02100-02199|LN_B02130_005010|Kniv av yatagantyp, Främre Orienten - Livrustkammaren - 501.tif
35600|196432|M_B\M_B10000-10999\M_B10600-10699|LN_B10684_013564|Vänster kragstövel buren av Karl XII vid Fredrikshall den 30 november 1718 - Livrustkammaren - 35600.tif
52306|202141|M_B\M_B06000-06999\M_B06500-06599|LN_B06556_009436|Kista "dödekläder" Gustav II Adolf -Gustav III - Livrustkammaren - 52306.tif
18221|203706|M_B\M_B08000-08999\M_B08100-08199|LN_B08122_011002|Flintlåspistol, P. Thomas, Paris ca 1640 - Livrustkammaren - 18221.tif
48150|186131|M_DIG\M_DIG0000-0999\M_DIG0600-0699|lm_dig0622|Vagnskorg, höger sida - Livrustkammaren - 48150.tif
42845|192020|M_A\M_A00000-00999\M_A00400-00499|LN_A00425_000425|Snapplåslodbössa, lägglås, infjäderslås - Livrustkammaren - 42845.tif
25908|193768|M_A\M_A02000-02999\M_A02200-02299|LN_A02253_002253|Hjullåsbössa - Livrustkammaren - 25908.tif
86070|190678|M_DIG\M_DIG6000-6999\M_DIG6300-6399|lm_dig6328|Interiörbilder, Livrustkammarens bibliotek - Livrustkammaren - 86070.tif
87590|188844|M_DIG\M_DIG3000-3999\M_DIG3200-3299|hm_dig3232|Reprofotografi av bild från resealbum, i samband med utställningen Ardmore på Hallwyl - Hallwylska museet - 87590.tif
9209|207678|M_B\M_B03000-03999\M_B03600-03699|LN_B03621_006501|Hillebard - Livrustkammaren - 9209.tif
1059|203279|M_B\M_B07000-07999\M_B07700-07799|LN_B07710_010590|Uppstoppad häst - Livrustkammaren - 1059.tif
51783|203905|M_B\M_B01000-01999\M_B01300-01399|LN_B01326_004206|Uppbådsfana för Bellefors (Bällefors) socken i Vadsbo härad - Livrustkammaren - 51783.tif
69077|207145|M_B\M_B03000-03999\M_B03000-03099|LN_B03038_005918|Snapplåsbössa, halvspännslås, Nordfrankrike eller Nederländerna ca 1640 - Livrustkammaren - 69077.tif
25585|190241|M_DIG\M_DIG5000-5999\M_DIG5000-5099|lm_dig5057_27823|Ryggstycke - Livrustkammaren - 25585.tif
16757|188045|M_DIG\M_DIG2000-2999\M_DIG2700-2799|lm_dig2755|Pressbild, utställningen "Skor ger mer" år 2007 - Livrustkammaren - 16757.tif
85849|187179|M_DIG\M_DIG1000-1999\M_DIG1900-1999|hm_dig1900|Walther von Hallwyls ordensdräkt som Rechtsritter i Johanniterorden bestående av flera delar - Hallwylska museet - 85849.tif
18587|197620|M_B\M_B11000-11999\M_B11700-11799|LN_B11782_014662|Ordenstecken, II klass Lejon- och Solorden, Persien, för utlänningar - Livrustkammaren - 18587.tif
9824|205971|M_B\M_B09000-09999\M_B09700-09799|LN_B09771_012651|Drabantvärja m: 1693, Sverige, fästet Stockholm, klingan Vira bruk 1693-1703 - Livrustkammaren - 9824.tif
78451|196921|M_B\M_B11000-11999\M_B11100-11199|LN_B11189_014069|Elfenbenspistoler - Livrustkammaren - 78451.tif
27244|198568|M_B\M_B12000-12999\M_B12700-12799|LN_B12733_015613|Helbild flintlåsbössa - Livrustkammaren - 27244.tif
43020|193621|M_A\M_A02000-02999\M_A02100-02199|LN_A02175_002175|Armskena h - Livrustkammaren - 43020.tif
52674|196012|M_B\M_B10000-10999\M_B10200-10299|LN_B10236_013116|Värja - Livrustkammaren - 52674.tif
72983|47258|M_T\M_T03000-03999\M_T03300-03399|lm_t03325_7905|Värja med klinga av Clemens Horn, Solingen ca 1595-1600, fäste av Johan Pedersson - Livrustkammaren - 72983.tif
90558|191627|M_DIG\M_DIG7000-7999\M_DIG7200-7299|hm_dig7299|Fajans, borduppsats, signatur, 1760 - Hallwylska museet - 90558.tif
43612|199935|M_B\M_B05000-05999\M_B05200-05299|LN_B05215_008095|Sabel - Livrustkammaren - 43612.tif
67841|187852|M_DIG\M_DIG2000-2999\M_DIG2500-2599|lm_dig2558|Hjälm, Erik XIV och Hjälmkrossare - Livrustkammaren - 67841.tif
35777|198256|M_B\M_B12000-12999\M_B12400-12499|LN_B12454_015334|Schabrak ur en serie av sex (nr 6125-6130) - Livrustkammaren - 35777.tif
69058|206951|M_B\M_B02000-02999\M_B02800-02899|LN_B02848_005728|Sluten hjälm till Gustav II Adolfs tornerrustning, Sverige 1620-tal - Livrustkammaren - 69058.tif
89233|188968|M_DIG\M_DIG3000-3999\M_DIG3300-3399|hm_dig3338|Stråhatt med oregelbundet brätte. Tillhört Irma von Geijer - Hallwylska museet - 89233.tif
89266|188746|M_DIG\M_DIG3000-3999\M_DIG3100-3199|hm_dig3101|Porslin. Figurin föreställande Vintern - Hallwylska museet - 89266.tif
87538|190971|M_DIG\M_DIG6000-6999\M_DIG6700-6799|lm_dig6720|Till boken - utställningen Kunglig Vintage - Livrustkammaren - 87538.tif
32278|186724|M_DIG\M_DIG1000-1999\M_DIG1300-1399|lm_dig1315|Utställningsbild Fäktutställningen - rum 3 texttavla - Livrustkammaren - 32278.tif
16535|190403|M_DIG\M_DIG6000-6999\M_DIG6000-6099|lm_dig6041|Bröllopskonfekt - Livrustkammaren - 16535.tif
86727|189663|M_DIG\M_DIG4000-4999\M_DIG4400-4499|hm_dig4496_3348|Målning. Vinterscen med skridskoåkare. Jan Griffier - Hallwylska museet - 86727.tif
51260|190193|M_DIG\M_DIG5000-5999\M_DIG5000-5099|lm_dig5009_12268|Bridongträns - Livrustkammaren - 51260.tif
73402|194644|M_T\M_T07000-07999\M_T07500-07599|hm_t07515|Egyptiska fornsaker, vaser - Hallwylska museet - 73402.tif
33899|190632|M_DIG\M_DIG6000-6999\M_DIG6200-6299|lm_dig6268|Dokumentation, utställningen "Krigsbyte" 2007-2008 - Livrustkammaren - 33899.tif
1286|206490|M_B\M_B09000-09999\M_B09900-09999|LN_B09990_012870|Tobakspung "sash" till Cree indiandräkt, 1700-talets första hälft - Livrustkammaren - 1286.tif
33658|190405|M_DIG\M_DIG6000-6999\M_DIG6000-6099|lm_dig6043|Schabrak, detalj - Livrustkammaren - 33658.tif
60901|202482|M_B\M_B06000-06999\M_B06800-06899|LN_B06897_009777|Laddredskap - Livrustkammaren - 60901.tif
86974|189777|M_DIG\M_DIG4000-4999\M_DIG4600-4699|hm_dig4610_11137|Fågelboformare - Hallwylska museet - 86974.tif
65272|186133|M_DIG\M_DIG0000-0999\M_DIG0600-0699|lm_dig0624|Barnvagn sjuglasvagn, framifrån - Livrustkammaren - 65272.tif
82469|187662|M_DIG\M_DIG2000-2999\M_DIG2300-2399|lm_dig2366|Flintlåsstudsare - Livrustkammaren - 82469.jpg
85008|188543|M_DIG\M_DIG2000-2999\M_DIG2900-2999|lm_dig2914|Rustning, hertig Fredrik - Livrustkammaren - 85008.tif
51850|205895|M_B\M_B01000-01999\M_B01900-01999|LN_B01996_004876|Stövel - Livrustkammaren - 51850.tif
42217|190406|M_DIG\M_DIG6000-6999\M_DIG6000-6099|lm_dig6044|Schabrak, detalj - Livrustkammaren - 42217.tif
75358|187758|M_DIG\M_DIG2000-2999\M_DIG2400-2499|lm_dig2457_4178|Lås slaglåsdubbelbössa F Nowak - Livrustkammaren - 75358.tif
26328|207627|M_B\M_B03000-03999\M_B03500-03599|LN_B03573_006453|Sadeltäcke till handhäst ur Ludvig XIVs gåva till Karl XI 1673, den s.k. franska gåvan - Livrustkammaren - 26328.tif
61555|199272|M_B\M_B13000-13999\M_B13400-13499|LN_B13437_016317|Sabel för officer, Västmanlands regemente - Livrustkammaren - 61555.tif
25687|185420|M_A\M_A00000-00999\M_A00000-00099|LN_A00043_000043|Luntlåsmusköt - Livrustkammaren - 25687.tif
87589|188861|M_DIG\M_DIG3000-3999\M_DIG3200-3299|hm_dig3231|Reprofotografi av bild från resealbum, i samband med utställningen Ardmore på Hallwyl - Hallwylska museet - 87589.tif
30792|194781|M_T\M_T09000-09999\M_T09400-09499|hm_t09440|Nöjen och njutningar - Utställning - Hallwylska museet - 30792.tif
86736|190792|M_DIG\M_DIG6000-6999\M_DIG6500-6599|lm_dig6525_21584|Vit barnklänning - Livrustkammaren - 86736.tif
90587|191674|M_DIG\M_DIG7000-7999\M_DIG7300-7399|hm_dig7326|Fajans, skrivställ, undersida, 1926 - Hallwylska museet - 90587.tif
1623|199196|M_B\M_B13000-13999\M_B13300-13399|LN_B13360_016240|Tröja till Morakarlen, 1750-tal - Livrustkammaren - 1623.tif
16750|187958|M_DIG\M_DIG2000-2999\M_DIG2600-2699|lm_dig2677|Dokumentation, Livrustkammarens basutställning, Rum A - Livrustkammaren - 16750.tif
43394|207142|M_B\M_B03000-03999\M_B03000-03099|LN_B03035_005915|Flintlåsbössa, fusil, Nederländerna, 1630-tal - Livrustkammaren - 43394.tif
85932|188812|M_DIG\M_DIG3000-3999\M_DIG3100-3199|sm_dig3164_3327|Miniatyr. Napoleon I - Skoklosters slott - 85932.tif
86989|189789|M_DIG\M_DIG4000-4999\M_DIG4600-4699|hm_dig4625|Bordsplacering. 1919 - Hallwylska museet - 86989.tif
60493|206921|M_B\M_B02000-02999\M_B02800-02899|LN_B02817_005697|Pansarskjorta, Nürnberg - Livrustkammaren - 60493.tif
52134|208831|M_B\M_B04000-04999\M_B04800-04899|LN_B04836_007716|Värja med ej ursprungligen samhörande klinga - Livrustkammaren - 52134.tif
30442|194610|M_T\M_T05000-05999\M_T05900-05999|T05940_59_3-Ia|Gr. 59 . Textilier, Europa. Soffklädsel fågelmotiv - Hallwylska museet - 30442.tif
90555|191604|M_DIG\M_DIG7000-7999\M_DIG7200-7299|hm_dig7296|Fajans, bonbonnière, 1760-tal - Hallwylska museet - 90555.tif
202|193516|M_A\M_A02000-02999\M_A02000-02099|LN_A02020_002020|Hjälm, armet Lochner - Livrustkammaren - 202.tif
68965|205818|M_B\M_B01000-01999\M_B01900-01999|LN_B01918_004798|Sängomhänge, Torpa stenhus - Livrustkammaren - 68965.tif
60698|208862|M_B\M_B04000-04999\M_B04800-04899|LN_B04867_007747|Florett, Tyskland , 1800-tal - Livrustkammaren - 60698.tif
83427|187850|M_DIG\M_DIG2000-2999\M_DIG2500-2599|lm_dig2556|Bödelsvärd - Livrustkammaren - 83427.tif
5400|187057|M_DIG\M_DIG1000-1999\M_DIG1600-1699|lm_dig1644|Patronstrukare (Alm) - Livrustkammaren - 5400.jpg
108|192611|M_A\M_A01000-01999\M_A01000-01099|LN_A01080_001080|Hattband - Livrustkammaren - 108.tif
87057|189817|M_DIG\M_DIG4000-4999\M_DIG4600-4699|hm_dig4696_27127|Reproduktion. Porträtt. Ellen och Henrik de Maré - Hallwylska museet - 87057.tif
89237|188660|M_DIG\M_DIG3000-3999\M_DIG3000-3099|hm_dig3084|Porslin. Vit bricka med fåglar i dekoren - Hallwylska museet - 89237.tif
87540|190973|M_DIG\M_DIG6000-6999\M_DIG6700-6799|lm_dig6722|Till boken - utställningen Kunglig Vintage - Livrustkammaren - 87540.tif
35566|196112|M_B\M_B10000-10999\M_B10300-10399|LN_B10344_013224|Flintlåsmagasingeävr system Kalthoff, Jan Flock, Utrecht ca 1670 - Livrustkammaren - 35566.tif
1377|196671|M_B\M_B10000-10999\M_B10900-10999|LN_B10900_013780|Hilleström - stadsvy H E Charlottas intåg 1774 - Livrustkammaren - 1377.tif
9264|208229|M_B\M_B04000-04999\M_B04100-04199|LN_B04171_007051|Sadel, 1700-talets slut - Livrustkammaren - 9264.tif
43396|207162|M_B\M_B03000-03999\M_B03000-03099|LN_B03055_005935|S:t Andreasorden kors - Livrustkammaren - 43396.tif
85841|187093|M_DIG\M_DIG1000-1999\M_DIG1800-1899|hm_dig1892|Gentlemannen - om män och mode - Hallwylska museet - 85841.tif
77079|191918|M_A\M_A00000-00999\M_A00300-00399|LN_A00349_000349|Snapplåslodbössa, lägglås, infjäderslås - Livrustkammaren - 77079.tif
43258|204699|M_B\M_B01000-01999\M_B01600-01699|LN_B01675_004555|Hillebardklinga, jordfynd - Livrustkammaren - 43258.tif
90194|189305|M_DIG\M_DIG3000-3999\M_DIG3600-3699|sm_dig3673|Barockt. Utställning 2012. pressbild - Skoklosters slott - 90194.tif
51382|191786|M_A\M_A00000-00999\M_A00100-00199|LN_A00196_000196|Tröja o byxor kröningsdräkt - Livrustkammaren - 51382.tif
35027|208939|M_B\M_B04000-04999\M_B04900-04999|LN_B04944_007824|Värjor - Livrustkammaren - 35027.tif
8563|185418|M_A\M_A00000-00999\M_A00000-00099|LN_A00041_000041|Flintlåsbössor - Livrustkammaren - 8563.tif
8482|190289|M_DIG\M_DIG5000-5999\M_DIG5100-5199|lm_dig5184_11578|Bomsadel - Livrustkammaren - 8482.tif
51820|204720|M_B\M_B01000-01999\M_B01600-01699|LN_B01696_004576|Dolk, jordfynd - Livrustkammaren - 51820.tif
34705|204748|M_B\M_B01000-01999\M_B01700-01799|LN_B01724_004604|Ryttarhammare, jordfynd, Tyskland ca 1500-1625 - Livrustkammaren - 34705.tif
841|200466|M_B\M_B05000-05999\M_B05500-05599|LN_B05530_008410|Filklove - Livrustkammaren - 841.tif
25759|192346|M_A\M_A00000-00999\M_A00700-00799|LN_A00763_000763|Hjälmar - Livrustkammaren - 25759.tif
22231|194786|M_T\M_T09000-09999\M_T09400-09499|sm_t09449_620|Porträtt. Ryttarporträtt. Karl XII. Krafft - Skoklosters slott - 22231.tif
35192|202189|M_B\M_B06000-06999\M_B06600-06699|LN_B06604_009484|Axelgehäng - Livrustkammaren - 35192.tif
87569|190998|M_DIG\M_DIG6000-6999\M_DIG6700-6799|lm_dig6748|Till boken - utställningen Kunglig Vintage - Livrustkammaren - 87569.tif
9022|204775|M_B\M_B01000-01999\M_B01700-01799|LN_B01751_004631|Sadel - Livrustkammaren - 9022.tif
59977|192103|M_A\M_A00000-00999\M_A00500-00599|LN_A00537_000537|Pansarhuva - Livrustkammaren - 59977.tif
69745|205899|M_B\M_B09000-09999\M_B09700-09799|LN_B09718_012598|Flintlåspistoler - Livrustkammaren - 69745.tif
33880|188047|M_DIG\M_DIG2000-2999\M_DIG2700-2799|lm_dig2757|Pressbild, utställningen "Skor ger mer" år 2007 - Livrustkammaren - 33880.tif
86608|189606|M_DIG\M_DIG4000-4999\M_DIG4400-4499|sm_dig4421|Gyllenlädertapet - Skoklosters slott - 86608.tif
87062|189897|M_DIG\M_DIG4000-4999\M_DIG4700-4799|hm_dig4701_6870|Goat and Bee jug - Hallwylska museet - 87062.tif
51387|191841|M_A\M_A00000-00999\M_A00200-00299|LN_A00246_000246|Turkiskt tält del I - Livrustkammaren - 51387.tif
