<!--From: kuenstler_1.2.csv -->
''wikipedia-link'' is used for descriptive texts whereas creator is a creator template on commons and ''commoncat'' is a relevant category on commons.

Set commonsconnection of irrelevant events to "-". Note that creator is only relevant for artists

===kueId|frequency|name|wikipedia-link|creator|commoncat===
*18336|6|A Lindblad (Hovskräddare)|||
*18060|6|Le Sage (Livskräddare)|||
*17860|6|Kristian Arvid Linning (skulptör)|||
*17401|6|Antonius Lange (damaskerare)|||
*17362|6|C H Lundgren (Antikhandlare)|||
*16902|6|Karl VIII Knutsson Bonde av Sverige (kung)|||
*16802|6|Sebastian Lellij (guldsmed)|||
*16795|6|G Le'ke'gian & Co (Fotograf)|||
*1652|6|Antoine d' Aumont (hertig)|||
*16324|6|Johan Koch (bössmed, urmakare)|||
*15951|6|Christoph Keiner (bössmed)|||
*15794|6|Karin Månsdotter av Sverige (drottning, 1550-) Stockholm, Sverige|||
*15786|6|Ahmed Karamanli (pascha)|||
*15705|6|Lars Kagg (greve, riksmarsk)|||
*14659|6|Nils Albrekt von Höpken (friherre, lantmarskalk)|||
*1464|6|Asp (Klädsömmerska)|||
*14460|6|Carl Hård af Segerstad (Riksjägmästare)|||
*13562|6|Desiderius Kolman (Helmschmied) (harneskmakare)|||
*12335|6|August Fredrik Hagström (rustmästare, 1817-1901) Stockholm, Sverige|||
*11869|6|Pierre de Gruché (bössmed)|||
*10041|6|Frans de Vriendt "Floris" (Konstnär, 1518-1570) Antwerpen, Belgien|||
*9979|5|Georg Abraham Fleetwood (Överintendent, 1806-1878)|||
*9978|5|Georg Fleetwood (Generallöjtnant, 1605-1667)|||
*9226|5|Rutger Fredrik von Essen (Kammarherre)|||
*8131|5|Ch Doucin (bössmed-handlare)|||
*7852|5|Martin Dinckel (bössmed)|||
*66973|5|Adolph (Adolf) Kjellberg (Överläkare, 1828-1884) Svednäs, Värmland, Sverige|||
*66464|5|David Pärlestickare (pärlstickare)|||
*6147|5|Carl XVI Gustaf av Sverige (kung, 1946-) Haga slott, Solna, Sverige|||
*507|5|Alexander II av Ryssland (tsar)|||
*5061|5|Ulbo Aylva van Burmannia (ambassadör)|||
*5027|5|Johannes Bure (Bureus) (riksantikvarie)|||
*5025|5|Anders Bure (Bureus) (kartograf, matematiker)|||
*41246|5|Österhaninge församling (Församling)|||
*3924|5|Axel A. Borg (Antikhandlare,snickare)|||
*376|5|Lea Ahlborn (konstnär, gravör)|||
*37414|5|Kungl. Vitterhets- Historie och Antikvitetakademien,|||
*3727|5|John Boklund (professor)|||
*35883|5|NK:s franska damskrädderi (Skrädderi)|||
*35481|5|Nationalmuseum (Museum)|||
*33042|5|Bally (Skomakeri)|||
*32492|5|Hans Christian Zimmermann (Timmermand) (bössmed)|||
*32139|5|Johann Wolffer auf Berg (klingsmed)|||
*31700|5|Petter William Wikström (bössmed)|||
*31532|5|Erik Adolf Zethelius (guldsmed)|||
*3120|5|Bernhard von Beskow (friherre)|||
*29853|5|Georg (Jörgen) Ulrich (Ullrich) (brodör)|||
*29203|5|Augusta Maria Sofia Tamm f. Rålamb (friherrinna)|||
*29134|5|Emil Trägårdh (brukspatron, 1845-1880) Borggårds bruk, Sverige|||
*28909|5|Gustaf Emanuel Svalling (klingtillverkare)|||
*28100|5|J Sällström (Skräddare)|||
*27859|5|Fredrik Sparre (rikskansler, greve)|||
*27753|5|Johanna Cornelia Soret,|||
*27739|5|Sooween,|||
*27705|5|Virgils Solis (konstnär, grafiker)|||
*27651|5|Magnus Albert Carl Gustaf Arvid Stenbock (greve, 1800-) Sverige|||
*27001|5|Daniel Schwarzkopf (silversmed)|||
*25767|5|Claes Hans Rålamb (friherre, överståthållare)|||
*25182|5|Gustaf Mikaelsson Rundberg (pistolsmed)|||
*25120|5|Reinhold H J Rudbeck (friherre)|||
*25114|5|Reinhold T G C G Rudbeck (friherre, hovmarskalk)|||
*23823|5|Georg Riddersporre (pipsmed)|||
*2340|5|Barthel Beham (konstnär)|||
*21834|5|Carl Georg Norberg (svärdfejare, damaskerare)|||
*21516|5|Michel Ney (marskalk)|||
*21341|5|Karl von Nassau-Siegen (prins, amiral)|||
*21274|5|Carl Otto Mörner (friherre, överste)|||
*21047|5|R Murray,|||
*21011|5|Peter Munsten (klingsmed)|||
*20892|5|Jean Baptiste F de Morville (greve, ambassadör)|||
*20854|5|Moritz (fältmarskalk, greve)|||
*20772|5|Robert Moray,|||
*20336|5|Johan Wilhelm Friso Nassau-Dietz (prins)|||
*20136|5|Johannes Meigen (klingsmed)|||
*18959|5|Johannes Lutma,|||
*18883|5|Olof C Lundholm (hovkvartermästare)|||
*18534|5|Christian Lorentz (körsnär)|||
*18188|5|Caspar C Liendenberg (silversmed)|||
*1778|5|Robert Wilhelm Baeckborg (kommendör)|||
*17669|5|LeDuc (Skräddare)|||
*17647|5|Le Court (svärdfejare)|||
*17639|5|Jean Le Clerc (bössmed, pipsmed)|||
*17312|5|Adolf Johan Lindberg (konstnär, professör)|||
*17216|5|J. A Lagergren (kapten)|||
*15662|5|Christian Gottfried Jüchtzer,|||
*14852|5|Aron Jacobsen (signetmakare)|||
*14548|5|Johan II Kasimir av Polen (kung)|||
*14211|5|Clemens Horn (klingsmed)|||
*14196|5|Arvid Bernhard Horn af Ekebyholm (greve, lantmarskalk, 1664-1742) Ekebyholm, Sverige|||
*12551|5|Estrid Hylin f. Rundquist (fru)|||
*12528|5|Hans von Hallwyl (Politiker, officer, 1835-1909) Bern - Burgberg, Schweiz - Tyskland|||
*12494|5|Axel Hallin (Bankdirektör)|||
*12136|5|Carl August Gyldenstolpe (Kammarherre)|||
*12044|5|Martin Gummi (bössmed)|||
*12005|5|Mathew Guild (harneskmakaren)|||
*11140|5|Christoffer von Günthersberch (överste)|||
*9892|4|Fredrik III av Danmark (kung)|||
*9049|4|Erik "S:t Erik" Jedvardsson (Kung)|||
*870|4|Viktor Natanael Baumbach (apotekare)|||
*8401|4|Alfred von Düben (friherre, ryttmästare)|||
*7735|4|Markus Diefstätter (klingsmed)|||
*7302|4|Louise Danner (Länsgrevinna)|||
*6943|4|Carl Fredrik Coyet (amiral)|||
*685|4|Almgren,|||
*66974|4|Axel Ehrenfrid Wibel (1869-)|||
*66541|4|Anders pärlstickare (pärlstickare)|||
*66501|4|Nils Björck (buntmakare)|||
*5890|4|Christian Albrecht av Holstein-Gottorp (hertig)|||
*4714|4|Axel Carlsson (konsthandlare)|||
*4708|4|Sven Carlman (hovjuvelerare, -1963) Stockholm, stad, Sverige|||
*45060|4|Zeüner, Johann Joachim,|||
*4310|4|Konstantin II Brancoveanu (prins)|||
*4147|4|Carl, hertig av Västergötland (prins, 1861-) Stockholm, Sverige|||
*4084|4|Miguel Cantero (klingsmed)|||
*3818|4|Jedvard Knutsson Bonde,|||
*35667|4|Rayne H & M (Skomakeri)|||
*3562|4|Busoms (bössmed)|||
*32855|4|Armémuseum (Museum)|||
*32662|4|Tor Olsen Åmodt (Aamodt) (herr)|||
*32661|4|Åke Åmell (Antikhandlare)|||
*32158|4|Oscar Wollert (ingenjör)|||
*31792|4|Johan Reinhold von Willebrand (Friherre)|||
*31594|4|J Widerberg (Bössmed, urmakare)|||
*31545|4|Viault-Esté,|||
*31133|4|Johan Lorentz Weiss (gravör)|||
*3104|4|Arthus Bertrand (guldsmed)|||
*31012|4|B Wechselman (hovleverantör)|||
*30636|4|Johan Werner (konstnär)|||
*30048|4|Kristian Fredrik Trane (Hovskomakare)|||
*29890|4|Erik Johansson Vasa (riksråd)|||
*2984|4|Johan Brun (Skräddare, ålderman)|||
*29727|4|Påwel Thurolt (hovbrodör)|||
*2951|4|Bovlar (pistolsmed)|||
*2924|4|Lars Blekberg (bössmed)|||
*29166|4|Alessandro Turchi "Veronese" (konstnär)|||
*28934|4|Wyler (Wyer) Swart (bössmed, låssmed)|||
*28894|4|Manuel Sutil (bössmed)|||
*2837|4|Clara Bonde f. Rålamb (grevinna)|||
*28159|4|Wolfgang Stantler (Ständler) (klingsmed)|||
*2789|4|Folke Bernadotte af Wisborg (greve, 1895-) Stockholm, Sverige|||
*27848|4|Sparre (greve)|||
*27754|4|Jörg Sorg (harneskmakare, etsare)|||
*27650|4|Magnus Stenbock (greve, fältmarskalk)|||
*27207|4|Anna Sibylla Sergel (brodös)|||
*26956|4|Carl Friedrich Schultz,|||
*26648|4|Nils (Niklas) Stare (brodör)|||
*26619|4|Sigismund I (III) av Sverige-Polen (kung, 1566-) Gripsholms slott, Sverige|||
*26219|4|Ulrik Scheffer (greve)|||
*25950|4|Erik Samuelsson (bössmed)|||
*25843|4|Sachin (bössmed, låssmed)|||
*25504|4|Alexander Roslin (konstnär, 1718-1793) Malmö, Paris|||
*25373|4|Léon Sacré,|||
*25236|4|Clara Scharp,|||
*25235|4|Johan Henrik Scharp,|||
*25008|4|Riza Isfahani (klingsmed)|||
*24356|4|Stanislaus Radziejowski (vojvod)|||
*23566|4|Pigrau (låssmed)|||
*23488|4|Philpus, Filippus (hillebardsmed)|||
*22810|4|Heinrich Pather (Poeter, Paether) (klingsmed)|||
*22776|4|Crispin de Passe (Pas) (konstnär)|||
*22490|4|Bengt Oxenstierna (greve, generalguvernör)|||
*22417|4|Oscar Carl August Bernadotte (prins Bernadotte, 1859-) Drottningholms slott, Sverige|||
*21961|4|Olga Persson,|||
*2181|4|Nils Lorens Björkman (rustmästare bössmed)|||
*21592|4|Franz Nowak (bössmed)|||
*2138|4|Eugène de Beauharnais (hertig av Leuchtenberg)|||
*21206|4|Bengt Mård (bössmed)|||
*21164|4|Magnus Myrman (guldsmed)|||
*20778|4|Jean Victor Moreau (general)|||
*20409|4|Friedrich Elias Meyer,|||
*20374|4|Nils Nilsson Nessle (Antikhandlare)|||
*20176|4|Kristoffer Merker (Gördelmakare)|||
*20169|4|Matthaeus Merian (konstnär, 1621-1687) Frankfurt am Main, Tyskland|||
*19601|4|Alonzo Martinez (hovbössmed)|||
*19173|4|André Massena (furste, marskalk)|||
*18214|4|Carl Lilja (guldsmed)|||
*18204|4|Gustaf Rutger von Liewen (friherre)|||
*18014|4|Carl Leonard Lode (överste)|||
*17630|4|Nicolas Le Clerc (hovpipsmed)|||
*17157|4|Isaac de La Chaumette (Vapenkonstruktör)|||
*17111|4|Hans Christoffer von Königsmarck (greve, riksråd)|||
*16565|4|Kristina av Sverige (drottning, 1573-1625)|||
*16111|4|Karl Fredrik Kiörboe (konstnär)|||
*15874|4|Kaskel (generalkonsul)|||
*15124|4|Johan (Sverkersson) I av Sverige (kung)|||
*146|4|Abbas den store av Persien (Shah)|||
*13382|4|Sven Hedin (Fil.dr, upptäcktsresande, skriftställare, 1865-1952) Stockholm, Sverige|||
*13040|4|Holger Hansson (Konstnär)|||
*11936|4|Johan Petter Grönvall (guldsmed, svärdfejare)|||
*11922|4|Anna Gröber (sömmerska)|||
*11464|4|Knud Jacobsen Gjerstad (Bössmed, svärdfejare)|||
*11266|4|Claes Grill (köpman)|||
*11139|4|Carl Gustaf Güntherfelt (hovstallmästare)|||
*10431|4|Fredrika av Sverige (drottning, 1781-) Tyskland, Baden|||
*10089|4|Isak Fogeth,|||
*9954|3|C A Fischer (bössmed)|||
*9711|3|Carl Gustav Fehrman (konstnär, gravör)|||
*9673|3|Henri Fauré-Lepage (bössmed)|||
*9307|3|C F Friesen (Friese) (bössmed)|||
*9141|3|Carl von Essen (greve)|||
*8895|3|Peder Fjaestad (Skomakare)|||
*8683|3|Axel Ekelund (brukspatron)|||
*8649|3|Carl Axel Ek (svärdfejare)|||
*8571|3|Carl August Ehrensvärd (greve, amiral)|||
*8497|3|Johann Friedrich Eberlein,|||
*8443|3|T O P T Dyrssen (ryttmästare)|||
*8402|3|Carl Gustaf von Düben (greve)|||
*8042|3|Fredrik Christoffer Dohna (greve)|||
*8038|3|Christoffer Delphicus v Dohna (greve)|||
*7772|3|Dietrich,|||
*7769|3|L Dietrichson (professor)|||
*7767|3|Berent von Dietrichsen,|||
*7563|3|Carl Gustaf Magnus Baltzar De la Gardie (greve)|||
*7437|3|Davoud, Dâwûd (klingsmed)|||
*7225|3|Oskar Johan Erik af Dalström (Major)|||
*7030|3|Rolf de Maré,|||
*6945|3|Gillis Coyet (guldsmed)|||
*66982|3|Theresia Kjellberg (Lärarinna, 1871-)|||
*66979|3|Ingeborg Amalia Carolina Pripp (Fru, 1868-)|||
*66977|3|Werner Wegelius (Bankdirektör, 1854-) Orisbergs bruk, Finland|||
*66976|3|Thure Birger Wegelius (Kyrkoherde, 1822-1890) Vårö, Finland|||
*66975|3|Jacob Wegelius (Präst, läkare, 1779-1861) Vårö ; Malax, Finland|||
*66486|3|Mårten Balko (Skräddare)|||
*65798|3|K. Krigskollegium, Sverige,|||
*625|3|John I Alison (pistolsmed)|||
*599|3|Arana (Låssmed)|||
*5956|3|Christian II av Sachsen (kurfurste)|||
*5634|3|Bror Carl Gustaf Cederström (friherre, överste)|||
*5599|3|F P Devisme (bössmed)|||
*468|3|Albrecht V av Bayern (hertig)|||
*4594|3|Robert August Brieskorn (guldsmed)|||
*4271|3|Nils Brahe (greve, riksråd)|||
*4240|3|Thomas Brachfeldt (guldsmed)|||
*3977|3|Adolf Bosch (bössmed)|||
*39152|3|Leumas, J & L (urmakare)|||
*38038|3|Fersenska rustkammaren (rustkammare)|||
*37926|3|Ekstedt & Collander (tyghandlare)|||
*3788|3|Edvard Alfred Boman (Byggmästare, 1829-1887) Stockholm, Sverige|||
*37023|3|Topkapi-verkstäderna (hovverkstäder)|||
*3604|3|Gebhard Leberecht Blücher von Wahlstatt (furste, generalfältmarskalk)|||
*35882|3|NK Boutique (Skrädderi)|||
*35001|3|Karnet & Kysely,|||
*34831|3|Militär Ekiperings Aktiebolaget (MEA) (Skrädderi)|||
*34234|3|Garrard & Co, R & S (guldsmedsfirma)|||
*33774|3|Fortifikationsförvaltningen,|||
*3367|3|Bizet (sadelmakare)|||
*32437|3|Balthasar Johann Zellner (bössmed)|||
*32294|3|Anders Wretling (Skomakarmästare)|||
*32150|3|Barthel Volkland,|||
*32070|3|Jörgen Herman Vogt (Statsråd)|||
*32059|3|Sigismund Vogel (kopparstickare)|||
*32037|3|Wilhelm IV av Hessen-Cassel (markgreve)|||
*31949|3|Wilhelm Wirsberg (Weyersberg) (klingsmed)|||
*31675|3|Wilhelm III av England (Storbritannien) (kung, 1650-1702) Haag, Holland|||
*31672|3|Olof Wihlborg (guldsmed)|||
*31608|3|Widmark (inspektor)|||
*31541|3|Johannes Andreas Viatis (köpman)|||
*3138|3|Conrad P J Betzholz (Premiärlöjtnant)|||
*31348|3|Karl Georg Teodor Westée (överste i fransk tjänst)|||
*3102|3|Johan Bertram d.y. (klingsmed)|||
*30971|3|Johan W C Way (Konstnär)|||
*30881|3|Abraham Wuchters (konstnär, 1610-1682)|||
*30859|3|Richard Wilson (bössmed)|||
*30669|3|Albrecht Wenzel  E von Wallenstein (hertig)|||
*30589|3|Felix Werder (bössmed, pistolsmed, guldsmed)|||
*30444|3|Carl Hans Wachtmeister (friherre, president)|||
*30342|3|Ida (Elisabeth Bertha) Uhse (Sällskapsdam, 1844-1924)|||
*29932|3|Johann Wagner (guldsmed)|||
*29716|3|Thuraine d.ä. (Turaine,Turenne,Theuren) (hovbössmed)|||
*29634|3|Kristoffer Thomas (konstnär)|||
*28970|3|Swederus (bokhandlare)|||
*28957|3|F Svedberg (Skräddare)|||
*28940|3|Anders Svart (Hovskräddare)|||
*2889|3|Léopold Bernard (pipsmed)|||
*28798|3|Joseph Stöckl (Stöck, Steckel, Stechel) (bössmed)|||
*28710|3|John Stuart (pistolsmed)|||
*28325|3|Charlotta (M C A) Stierngranat f.Drufva (överstinna)|||
*28200|3|Curt Bogislaus Ludvig Christopher von Stedingk (Fältmarskalk, 1746-1837)|||
*27781|3|Souzy (klingsmed)|||
*27752|3|Maria Josephina Soret (kammarfru)|||
*27691|3|Jan van Solingen (bössmed)|||
*27613|3|Hindrich Steinfort (Gulddragare)|||
*27418|3|Per Siöblad (friherre, generalfälttygmästare)|||
*27098|3|N G Sefström (professor)|||
*26867|3|Tor Schreber von Schreeb (kamrer, 1882-1965) Stockholm, Sverige|||
*26769|3|Adolf Fredrik von Schneidau (Konteramiral, 1768-1860)|||
*26548|3|Seyed Mostafa (låssmed)|||
*26507|3|Johann Carl Schönheit,|||
*26458|3|Hans Hugold Julius von Schwerin (friherre, ryttmästare)|||
*26247|3|Johan Herman Schützercrantz (konteramiral)|||
*26196|3|Olof Schedin (bondgeneral)|||
*26021|3|Joachim von Sandrart (Konstnär)|||
*25869|3|Alonso de Sahagun (klingsmed)|||
*25756|3|Hjalmar Ryttermark (revisor)|||
*25566|3|C. F. Rothe & Neffe OHG (guldsmeder)|||
*25441|3|August Robert Fredrik von Rosen (greve)|||
*25307|3|Daniel Roloff (hovbössmed)|||
*2493|3|Anders Bengtsson (pärlstickare)|||
*249|3|Louise Natalia Adelborg (Konstnär, 1810-1885) Stockholm, Sverige|||
*24811|3|Börje Månsson Skäkta,|||
*24760|3|H Rose (guldsmed)|||
*24679|3|Carl Axel Emanuel Reuterholm (friherre)|||
*24459|3|Jakob Momma Reenstierna (brukspatron)|||
*24458|3|Abraham Momma Reenstierna (brukspatron)|||
*24278|3|Johann Markus Putz von Adlersthurm (friherre)|||
*23925|3|Jan Porcellis (Konstnär, 1585-1632) Gent - Leyden, Nederland|||
*2386|3|J Bellette (urmakare)|||
*23667|3|Hernandez Roque (klingsmed)|||
*23431|3|Johann Ernst Pfau,|||
*23204|3|Sören Rasmussen (bössmed)|||
*23190|3|Jean Rapp (greve, general)|||
*23170|3|Ramunder,|||
*23079|3|Anthoine Peseto (svärdfejare)|||
*22910|3|Johan Pedherson (schatullmakare?)|||
*22607|3|Palmgren (Kyrkoherde)|||
*22573|3|Carl Ulrik Palm (konsthandlare)|||
*22551|3|Pakubuwana VII av Surakarta (susuhunan)|||
*22509|3|L Paar,|||
*22211|3|Selma Petersson (gjuterska)|||
*22134|3|Frants E Oldenburg (gulddragare)|||
*22017|3|Johan Magnus af Nordin (Landshövding)|||
*22010|3|Karl Vilhelm Nordgren (konstnär)|||
*21880|3|Johan Oxenstierna (greve)|||
*21875|3|Gabriel Bengtsson Oxenstierna (greve)|||
*21855|3|F.A. Nordeman (veterinär)|||
*2179|3|Augusta W Björkman,|||
*21779|3|Nikolaus I av Ryssland (tsar)|||
*21360|3|Herman Neujd (konstnär, skulptör)|||
*21340|3|Nasr-ed-Din (shah)|||
*21309|3|Nagel (hovbössmed)|||
*21233|3|Märtha av Sverige (prinsessa, 1901-) Stockholm, Sverige|||
*20958|3|Muhammed Ali (Mehemed Ali) (pascha)|||
*20847|3|Johann Valentin Moritz (bössmed)|||
*19974|3|Maximilian I Joseph av Bayern (kung)|||
*19868|3|Nicolaes Millich (hovskulptör)|||
*19620|3|Jacqueline Martin,|||
*19611|3|Juan Martinez-Munchaka (Mentrarca) (klingsmed)|||
*19313|3|Margareta av Sverige (kronprinsessa, 1882-1920)|||
*19198|3|Hilma Malmström (modist)|||
*18858|3|Maximilian II (Emanuel) (kurfurst)|||
*18857|3|Pierre Mignard (konstnär)|||
*1866|3|Gustaf Persson Banér (friherre)|||
*18462|3|Per Henrik Ling (professor)|||
*18255|3|Johan Fredrik Lilliehöök (generalmajor)|||
*18139|3|Sten Casimir Lewenhaupt (greve, överste)|||
*18135|3|Adam (Ludvig Carl) Lewenhaupt (Överstekammarherre, 1861-) Sverige|||
*18109|3|J Leumas (urmakare)|||
*17906|3|A U Littorin (Handlare)|||
*17842|3|Jean Le Page (hovbössmed)|||
*17692|3|Eugène Gabriel Lefaucheux (Vapentillverkare)|||
*17652|3|Jean Le Couvreux (Lécoourreur) (bössmed)|||
*17492|3|J Lattes (guldsmed)|||
*17459|3|Guy Laroche (Skräddare)|||
*17364|3|Ludvig Persson Lundgren (konstnär, gravör)|||
*17350|3|August Lundeberg (brukspatron)|||
*17313|3|Carl Johan Lindberg (kapten)|||
*17163|3|La Couture (Cousture, Descoutures) (bössmed)|||
*17053|3|George Kynoch (ammunitionstillverkare)|||
*16979|3|J Larsson (Skomakare)|||
*16844|3|Torsten Lenk (Fil.dr)|||
*16727|3|Levrard (pipsmed)|||
*16484|3|David von Krafft (konstnär)|||
*1647|3|Augusta Amalia av Bayern (prinsessa)|||
*16457|3|Jakob Kosters (Vapenhandlare)|||
*16280|3|E Knecht (svärdfejare)|||
*16158|3|Jean-Baptiste Kléber (general)|||
*16074|3|H Key-Åberg (med. dr)|||
*1607|3|Carl Johan Bergman (Lektor, riksdagsman, 1817-1895) Visby, Sverige|||
*15812|3|Jan Knoop (bössmed)|||
*15633|3|Melchior Jung,|||
*14880|3|C Jacquinet (konstnär, gravör)|||
*147|3|Abbas I (Shah av Persien)|||
*14473|3|Paco Hårleman (Överstelöjtnant)|||
*14212|3|Adam Horn af Ekebyholm (riksråd, greve)|||
*14126|3|H M Holmström (brodör)|||
*14090|3|Axel Emanuel Holmberg (Pastor, fornforskare)|||
*13924|3|Jacob Wilhelm Hjortsberg (guldsmed)|||
*13797|3|Mexia Herrero y Cie (guldsmedsfirma)|||
*13774|3|Sebastian Hernantez (klingsmed)|||
*13672|3|Guillaume Henoul (Henouil) (bössmed)|||
*13671|3|Francois Henouil, Henoul (bössmed)|||
*13524|3|Kaspar (Casper) Kohl (klingetsare)|||
*13488|3|Wilhelm (Heinrich) Kempe (Grosshandlare, brukspatron, 1807-1883)|||
*13365|3|Johan Hedberg,|||
*12882|3|Hamengku Buwana VIII (sultan)|||
*12568|3|John Håkansson (Bankir, stadsmäklare, 1846-1917) Stockholm, Sverige|||
*12526|3|Elma (Hildegard Ludwine) von Hallwyl (grevinna)|||
*12357|3|Carl Gustaf Hallberg (guldsmed, 1824-1888) Stockholm, Sverige|||
*12304|3|J A Hafström (kapten)|||
*12157|3|Henrik Fredrik Gyllenram (generalmajor)|||
*11687|3|Melchior Graf (Graaf) (rustmästare)|||
*1149|3|Guiseppe Arcimboldo (Archimboldo) (konstnär, 1526-1593) Milano, Italien|||
*11331|3|Jakob Axel Gillberg (konstnär)|||
*11265|3|Grill,|||
*10881|3|C J M Fyrwald (gulddragare)|||
*10855|3|Frederik VI av Danmark (kung)|||
*10705|3|Christopher Conrad Hunger,|||
*10578|3|Georg Gessler (Geissler) (bössmed)|||
*10323|3|J Francis (Skomakare)|||
*10264|3|Isaac Foulon (bössmed)|||
*10047|3|Gösta Florman (fotograf)|||
*9985|2|Georg Wilhelm Fleetwood (Amanuens, 1882-1958)|||
*9898|2|Fredrik II av Preussen (kung)|||
*9897|2|Ferdinand II av Portugal (kung)|||
*9818|2|Carl Reinhold von Fersen (greve, riksråd)|||
*9407|2|Edvard VII av Storbritannien (kung)|||
*9255|2|Ester (drottning)|||
*9217|2|Carl Johan Fredrik Gernandt (konduktör)|||
*8828|2|Pieter Faes (konstnär)|||
*8812|2|Johan Engholm (pistolsmed)|||
*8799|2|V Engelhart,|||
*8682|2|Peter Petterson Ekelund (Kyrkoherde)|||
*8614|2|Johann Samuel Eickhorn (svärdfejare)|||
*8567|2|Johan Ludvig Eberhard Ehrenreich (tandläkare)|||
*849|2|Barthel Bauer (Bössmed)|||
*8470|2|Tyra Dörum (fröken)|||
*8410|2|Ulrik Vilhelm von Düben (friherre)|||
*8408|2|Peter von Düben (Överstelöjtnant)|||
*8406|2|Mina von (LU Vilhelmina) Düben (friherrinna)|||
*8278|2|Dufossée,|||
*8152|2|Max Dreger (dr)|||
*8096|2|Johan Gustaf af Donner (överste)|||
*8055|2|John Dollond (kikartillverkare)|||
*8020|2|Christoph Dobell (bössmed)|||
*7945|2|Johann Gottlob Ehder,|||
*793|2|C. Th Andersson (Antikhandlare)|||
*7858|2|Clemens Dinger (Deinger) (klingsmed)|||
*7766|2|Friedrich Dietrichs,|||
*7707|2|Nere Albert Elfwing (överste)|||
*7700|2|Eley (ammunitionstillverkare)|||
*7698|2|J Elers (Major)|||
*7591|2|Etienne Delaune (de Laune, de Laulne, Delaulne) (gravör)|||
*7557|2|Gustaf Adolf De la Gardie (greve)|||
*7501|2|Fredrik De Derichs (kapten)|||
*7485|2|Louis Marie De Camps (Generalmajor)|||
*7396|2|Arnold David (bössmed)|||
*7331|2|Fritz Ludvig von Dardel (Överintendent)|||
*7300|2|Johann Heinrich Dannecker,|||
*7254|2|Daniel Danatz (Donatz, Donatus) (bössmed, ålderman)|||
*7251|2|Carl Damström (Danström) (svärdfejare, silversmith)|||
*7157|2|Cupido,|||
*7146|2|Edmond Culpepper (instrumentmakare)|||
*7116|2|Wilhelm Böös Drakenhielm (kammarråd)|||
*7109|2|Johan Henrik Drachman (svärdfejare)|||
*6997|2|Otto Casimir* Cronstedt (greve, kamrer KMO, 1833-1907) Sverige, Kilsgård|||
*6889|2|Julien Coulaux (Couleau) (bössmed)|||
*67012|2|Anna Lindholm (Husa)|||
*66983|2|Signe Hedvig Mathilda Berglöf (Folkskollärarinna, 1863-)|||
*66980|2|Knut Otto Alfred Bohman (Konsul, 1847-)|||
*66964|2|Charlotta Ida Horatia Bonde af Björnö, f. Marryat (1841-1910)|||
*66958|2|Nikolai Paul Fromhold Pontus Stenbock (Greve, 1840-1902) Gottenvik, Östergötland ; Narva|||
*66930|2|Ernst Eugen Carl August Bernhard Paul af Hessen-Philippsthal (Lantgreve, 1846-1925)|||
*66901|2|Carl av Hessen-Philippsthal (Lantgreve, 1803-1868)|||
*6635|2|Joseph Contriner (bössmed)|||
*66083|2|C. S. Olsen (Guldsmed)|||
*66047|2|Olof Fredsberg (Konstnär)|||
*65750|2|Frederico G Da Costa (hovjuvelerare)|||
*6557|2|Giovanno Lazarino Cominazzo (pipsmed)|||
*6542|2|Samuel Colt (Vapenkonstruktör, överste, 1814-1862) Hartford, Conn., USA|||
*6459|2|Friedrich de Derich (Derichs, Diederichs) (kapten)|||
*6190|2|Diamanti (låssmed)|||
*5974|2|Christian IV av Danmark (kung)|||
*5800|2|Alexandre Chasteau (bössmed)|||
*5624|2|Emanuel Ture Cederström (friherre godsägare)|||
*5188|2|Friedrich W von Buxhövden (fältmarskalk)|||
*5086|2|Sven Burström (bössmed)|||
*505|2|Alexej Petrovitj (tsarevitj)|||
*4951|2|Halvor Bryngelsson (bonde)|||
*4950|2|Engelbrecht Bryngelsson (bonde, riksdagsman)|||
*4622|2|Jean Brosard (Brosa) (pipsmed)|||
*4511|2|Hannas von Bredow,|||
*4455|2|Christian Cloeter (Cleuter) (pistolsmed)|||
*4443|2|Leonard Cleuter (Cloeter, Clöter) (pistolsmed)|||
*4429|2|Hans Clerck (hovguldsmed)|||
*4363|2|C J Bulér (Sockerbagare)|||
*4336|2|Anders Gustaf Bratt (Konstnär)|||
*4315|2|Johann Cristian Brandt d.y. (Konstnär, 1722-1795) Schweiz|||
*4292|2|Tycho (Tyge) Brahe (astronom)|||
*4260|2|Abraham Brahe (greve)|||
*4232|2|Jacob Brach (klingsmed)|||
*417|2|Ahmed III (sultan)|||
*41110|2|Birgitta av Sverige (prinsessa, 1937-) Haga slott, Sverige|||
*40955|2|K Räntekammaren,|||
*40837|2|Wilkinson & Son, (& Sons),|||
*4029|2|Bounon (Brunon) (Klingsmed)|||
*4011|2|Edmée B. Bouchardon (skulptör)|||
*40043|2|Scharffenberg, G A,|||
*38197|2|Bury & Leonhard,|||
*38116|2|Braherustkammaren (rustkammare)|||
*37997|2|Eskilstuna fristad (Manufaktur)|||
*3731|2|Lars Bolander (Hovmålare)|||
*37186|2|Uppsala universitet (universitet)|||
*37132|2|Töjhuset, Arsenalen, Köpenhamn (arsenal)|||
*36809|2|Sy & Wagner,|||
*36717|2|Svea orden (Ordenssällskap)|||
*36608|2|Stockholms Flaggfabrik AB,|||
*3659|2|Johann Friedrich Bock (svärdfejare)|||
